,x,pdf,cdf,type,type_specific,parameter1,parameter2,location,parameter
231,-0.3162343875248692,0.37948484118101666,0.37591230425837024,normal,normal: mean=0 var=1,0.0,1.0,0,
232,-0.29914063684782155,0.3814860124620642,0.38241637065814904,normal,normal: mean=0 var=1,0.0,1.0,0,
233,-0.28204688617077434,0.3833856964434955,0.3889537795445008,normal,normal: mean=0 var=1,0.0,1.0,0,
234,-0.2649531354937267,0.3851822749866549,0.39552278217251124,normal,normal: mean=0 var=1,0.0,1.0,0,
235,-0.2478593848166799,0.38687421271704403,0.4021216028413882,normal,normal: mean=0 var=1,0.0,1.0,0,
236,-0.23076563413963225,0.38846005921045457,0.4087484403280573,normal,normal: mean=0 var=1,0.0,1.0,0,
237,-0.2136718834625846,0.38993845106466307,0.41540146935715183,normal,normal: mean=0 var=1,0.0,1.0,0,
238,-0.19657813278553693,0.3913081138525487,0.422078842105411,normal,normal: mean=0 var=1,0.0,1.0,0,
239,-0.17948438210849016,0.39256786395271626,0.42877868973842054,normal,normal: mean=0 var=1,0.0,1.0,0,
240,-0.1623906314314425,0.39371661025394467,0.43549912397757473,normal,normal: mean=0 var=1,0.0,1.0,0,
241,-0.14529688075439484,0.3947533557300251,0.44223823869506695,normal,normal: mean=0 var=1,0.0,1.0,0,
242,-0.12820313007734718,0.39567719888180675,0.44899411153467306,normal,normal: mean=0 var=1,0.0,1.0,0,
243,-0.11110937940030041,0.39648733504353106,0.45576480555602694,normal,normal: mean=0 var=1,0.0,1.0,0,
244,-0.09401562872325275,0.3971830575508048,0.46254837090004886,normal,normal: mean=0 var=1,0.0,1.0,0,
